,event_no,country,province,river,location,latitude,longitude,maps_location,collecting,collecting_1,volume,photos,pp_number,pe_number,ps_number,pep_number,nylon_number,other_plastic,total_number,pp_number_fraction,pe_number_fraction,ps_number_fraction,pep_number_fraction,nylon_number_fraction,other_plastic_fraction,total_number_fraction,objectid,x,y
0,172,Thailand,Ubon Ratchathani,Mun River,Restaurant,15.2147168,104.7979268,"https://www.google.co.jp/maps/place/15.2147168,104.7979268/@15.2147168,104.7979268,18z","10/26/2019, 5:30 AM","12/30/1899, 5:21 AM",11941,https://photos.app.goo.gl/aiuRnG1z9qGpvJT87,1,0,0,0,2,0,3,0.0837450799766,0.0,0.0,0.0,0.167490159953,0.0,0.25123523993,,,
1,173,Thailand,Ubon Ratchathani,Mun River,Pier,15.2236184,104.8598795,"https://www.google.co.jp/maps/place/15.2236184,104.8598795/@15.2236184,104.8598795,18z","10/26/2019, 5:30 AM","12/30/1899, 5:21 AM",11782,https://photos.app.goo.gl/3dvxdNhENdM2M8kd8,8,0,0,0,0,0,8,0.679001867255,0.0,0.0,0.0,0.0,0.0,0.679001867255,,,
2,174,Thailand,Ubon Ratchathani,Mun River,Restaurant,15.2431336,104.9563006,"https://www.google.co.jp/maps/place/15.2431336,104.9563006/@15.2431336,104.9563006,18z","10/26/2019, 5:30 AM","12/30/1899, 5:21 AM",12059,https://photos.app.goo.gl/HLMmCDLJK7QaS4nz9,2,1,2,0,2,0,7,0.165851231445,0.0829256157227,0.165851231445,0.0,0.165851231445,0.0,0.580479310059,,,
3,206,Thailand,Ubon Ratchathani,Mun River,Raft,15.219534,104.8146906,"https://www.google.co.jp/maps/place/15.219534,104.8146906/@15.219534,104.8146906,18z","10/27/2019, 5:30 AM","12/30/1899, 5:21 AM",8132,https://photos.app.goo.gl/xRiNDcvygGbKZf5y7,1,1,0,0,0,0,2,0.122970978849,0.122970978849,0.0,0.0,0.0,0.0,0.245941957698,,,
4,207,Thailand,Ubon Ratchathani,Mekong River,Restaurant,15.3190841,105.5002706,"https://www.google.co.jp/maps/place/15.3190841,105.5002706/@15.3190841,105.5002706,18z","10/27/2019, 5:30 AM","12/30/1899, 5:21 AM",12265,https://photos.app.goo.gl/w5qptcCRLaa5KkRi8,2,0,0,0,0,0,2,0.163065633918,0.0,0.0,0.0,0.0,0.0,0.163065633918,,,
5,208,Thailand,Ubon Ratchathani,Mekong River,Raft,15.3171627,105.5137011,"https://www.google.co.jp/maps/place/15.3171627,105.5137011/@15.3171627,105.5137011,18z","10/27/2019, 5:30 AM","12/30/1899, 5:21 AM",11953,https://photos.app.goo.gl/ZBcNRxqWCdhuVM4t6,1,1,0,0,2,0,4,0.0836610056053,0.0836610056053,0.0,0.0,0.167322011211,0.0,0.334644022421,,,
6,200,Thailand,Chiang Rai,Mekong River,Pier,20.267873,100.090274,"https://www.google.co.jp/maps/place/20.267873,100.090274/@20.267873,100.090274,18z",2019/09/20 00:00:00+00,1899/12/30 00:00:00+00,10812,https://photos.app.goo.gl/XcC12TveQpzEp3Uf9,4,1,0,0,0,0,5,0.369959304477,0.0924898261191,0.0,0.0,0.0,0.0,0.462449130596,1.0,100.090274000343,20.2678729999554
7,201,Thailand,Chiang Rai,Mekong River,Watchtower,20.242615,100.145058,"https://www.google.co.jp/maps/place/20.242615,100.145058/@20.242615,100.145058,18z",2019/09/20 00:00:00+00,1899/12/30 00:00:00+00,10172,https://photos.app.goo.gl/PnqKLcwAj5kvPnfK6,1,0,0,0,1,0,2,0.0983090837593,0.0,0.0,0.0,0.0983090837593,0.0,0.196618167519,2.0,100.145058000245,20.2426149998537
8,202,Thailand,Chiang Rai,Mae Chan River,Crossing structure,20.140849,99.850237,"https://www.google.co.jp/maps/place/20.140849,99.850237/@20.140849,99.850237,18z",2019/09/21 00:00:00+00,1899/12/30 00:00:00+00,11807,https://photos.app.goo.gl/ZiXAkc2yQqufiXK46,2,0,0,0,0,0,2,0.169391039214,0.0,0.0,0.0,0.0,0.0,0.169391039214,3.0,99.8502369997927,20.1408489996415
9,203,Thailand,Chiang Rai,Mekong River,Neart the mouth of Ing river,20.204121,100.450322,"https://www.google.co.jp/maps/place/20.204121,100.450322/@20.204121,100.450322,18z",2019/09/22 00:00:00+00,1899/12/30 00:00:00+00,11112, ,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,100.450321999806,20.2041210002984
10,204,Thailand,Chiang Rai,Ing River,Amphoe Thoeng,19.689366,100.187974,"https://www.google.co.jp/maps/place/19.689366,100.187974/@19.689366,100.187974,18z",2019/09/22 00:00:00+00,1899/12/30 00:00:00+00,11898, ,1,3,0,0,0,0,4,0.0840477391158,0.252143217347,0.0,0.0,0.0,0.0,0.336190956463,5.0,100.187974000225,19.6893660003156
11,205,Thailand,Chiang Rai,Ruak River,Anantara Golden Triangle Elephant Camp & Resort,20.36988,100.080489,"https://www.google.co.jp/maps/place/20.36988,100.080489/@20.36988,100.080489,18z",2019/09/22 00:00:00+00,1899/12/30 00:00:00+00,17740, ,1,0,0,0,0,0,1,0.0563697857948,0.0,0.0,0.0,0.0,0.0,0.0563697857948,6.0,100.080489000248,20.3698799997242
12,228,Lao PDR,Vientiane,Tributary of Mekong river,Thai–Lao Friendship Bridge,17.849537,102.670989,"https://www.google.co.jp/maps/place/17.849537,102.670989/@17.849537,102.670989,18z",2020/02/12 00:00:00+00,1899/12/30 00:00:00+00,6016,https://photos.app.goo.gl/RZcSZTcmXBicm5UE8,3,0,0,0,0,0,3,0.498670212766,0.0,0.0,0.0,0.0,0.0,0.498670212766,1.0,102.670988999577,17.849536999791
13,229,Lao PDR,Vientiane,Tributary of Mekong river,Ban Mak Nao,17.999896,102.91,"https://www.google.co.jp/maps/place/17.999896,102.907964/@17.999896,102.907964,18z",2020/02/12 00:00:00+00,1899/12/30 00:00:00+00,5778,https://photos.app.goo.gl/Bom65QK4GbSAi4Az9,0,4,0,0,0,0,4,0.0,0.692281066113,0.0,0.0,0.0,0.0,0.692281066113,2.0,102.909999999948,17.99989600011
